asof_date,ticker,confidence,entry,hold_days,ret_5d_pct,ret_10d_pct,atr_pct,vol_ratio,notes,hold_ret_pct,ret_3d_pct,ret_5d_fwd_pct,n_sessions_available,ai_gate,ai_decision,ai_total,ai_conviction,ai_model,has_ai,research_status,finalized_pnl_pct,finalized_outcome
2026-07-02,GRND,93,15.6899995803833,3,,,,,,2.103256126233174,2.103256126233174,0.0,8,none,—,,,,False,finalized,2.1,time
2026-07-02,LHAI,100,2.740000009536743,3,,,,,,-46.715327260388676,-46.715327260388676,-58.0291980965148,8,evaluated,WAIT,86.8412063601799,0.55,,True,finalized,-12.74,stop
2026-07-02,MEG,99,20.040000915527344,3,,,,,,,,,0,none,—,,,,False,no_data,,
2026-07-02,NGNE,94,33.880001068115234,3,,,,,,12.86895062838353,12.86895062838353,16.97166416388155,8,none,—,,,,False,finalized,15.0,target
2026-07-02,RAAQ,100,13.420000076293945,3,,,,,,,,,0,none,—,,,,False,no_data,,
2026-07-06,GPC,96,132.57000732421875,3,,,,,,-6.260851039144541,-6.260851039144541,-6.826589862833196,7,none,—,,,,False,finalized,-5.09,stop
2026-07-06,RAAQ,100,13.420000076293945,3,,,,,,,,,0,none,—,,,,False,no_data,,
2026-07-06,REAX,94,2.1700000762939453,3,,,,,,-1.382487112212744,-1.382487112212744,-4.608301361073389,7,none,—,,,,False,finalized,1.38,time
2026-07-06,RIVN,88,18.6299991607666,3,,,,,,-2.7375112426586785,-2.7375112426586785,-7.085344896869563,7,none,—,,,,False,finalized,-8.51,stop
2026-07-06,RXST,87,5.610000133514404,3,,,,,,-9.447418844825037,-9.447418844825037,-9.803924735208762,7,none,—,,,,False,finalized,-9.2,stop
2026-07-06,SLDE,96,21.25,3,,,,,,-2.070590748506434,-2.070590748506434,0.6117607565487132,7,none,—,,,,False,finalized,-3.67,time
2026-07-07,LHSW,100,6.800000190734863,3,,,,,,-49.26470660420848,-49.26470660420848,-62.794119111394345,6,none,—,,,,False,finalized,-15.06,stop
2026-07-07,OFIX,95,11.569999694824219,3,,,,,,0.5185861814978275,0.5185861814978275,-5.358685409788177,6,none,—,,,,False,finalized,-2.29,time
2026-07-07,RAAQ,100,13.420000076293945,3,,,,,,,,,0,none,—,,,,False,no_data,,
2026-07-07,RMD,85,218.39999389648438,3,,,,,,-6.65293002992651,-6.65293002992651,-11.625457920883736,6,none,—,,,,False,finalized,-4.3,stop
2026-07-08,KFRC,91,54.400001525878906,3,,,,,,2.996318396503269,2.996318396503269,2.0036766948790636,5,none,—,,,,False,finalized,1.74,time
2026-07-08,KURA,84,11.989999771118164,3,,,,,,-9.007505790847366,-9.007505790847366,-5.504585988416237,5,none,—,,,,False,finalized,-6.68,stop
2026-07-08,NGNE,88,36.79999923706055,3,,,,,,4.130436112164126,4.130436112164126,7.201091252225197,5,none,—,,,,False,finalized,16.79,target
2026-07-08,RAAQ,100,13.420000076293945,3,,,,,,,,,0,none,—,,,,False,no_data,,
2026-07-09,NVVE,100,8.489999771118164,3,,,,,,86.1013029056177,86.1013029056177,,4,none,—,,,,False,finalized,30.45,target
2026-07-09,PRME,99,4.619999885559082,3,,,,,,-24.891772412017865,-24.891772412017865,,4,none,—,,,,False,finalized,-12.14,stop
2026-07-09,RAAQ,100,13.420000076293945,3,,,,,,,,,0,none,—,,,,False,no_data,,
